#date_order,            Init_dateAndTime,            Init_indexMinutes,            Fin_dateAndTime,            Fin_indexMinutes,            duration
0,2019-01-18 00:00:00,0,2019-02-04 17:50:00,25550,25550
1,2019-01-19 00:00:00,1440,2019-02-04 18:10:00,25570,24130
2,2019-01-20 00:00:00,2880,2019-02-07 06:40:00,29200,26320
3,2019-01-21 00:00:00,4320,2019-02-07 06:40:00,29200,24880
4,2019-01-22 00:00:00,5760,2019-02-07 10:50:00,29450,23690
5,2019-01-23 00:00:00,7200,2019-02-07 10:50:00,29450,22250
6,2019-01-24 00:00:00,8640,2019-02-07 11:50:00,29510,20870
7,2019-01-25 00:00:00,10080,2019-02-07 11:50:00,29510,19430
8,2019-01-26 00:00:00,11520,2019-02-07 14:30:00,29670,18150
9,2019-01-27 00:00:00,12960,2019-02-07 21:00:00,30060,17100
10,2019-01-28 00:00:00,14400,2019-02-07 21:00:00,30060,15660
11,2019-01-29 00:00:00,15840,2019-02-07 21:40:00,30100,14260
12,2019-01-30 00:00:00,17280,2019-02-08 17:10:00,31270,13990
13,2019-01-31 00:00:00,18720,2019-02-08 23:30:00,31650,12930
