date_init,IEC_init,IEC_fin,IEC_dur,methods_init,SS_fin,SS_dur,PSO_fin,PSO_dur,Freq_fin,Freq_dur,rand_on_fin,rand_on_dur,rand_off_fin,rand_off_dur,QL_on_fin,QL_on_dur,QL_off_fin,QL_off_dur
0,1020,25550,25550,1013,20604,20604,19610,19610,19610,19610,21232,21232,21243,21243,21233,21233,21240,21240
1440,2100,25570,24130,2094,20604,19164,19610,18170,19610,18170,22344,20904,21231,19791,21230,19790,21231,19791
2880,,,,,,,,,,,,,,,,,,
4320,4830,29200,24880,4828,22375,18055,20604,16284,19588,15268,24928,20608,24937,20617,24922,20602,22402,18082
5760,6290,29450,23690,6274,24948,19188,24909,19149,21230,15470,25624,19864,25536,19776,25625,19865,25544,19784
7200,8220,29450,22250,8182,24948,17748,24909,17709,21230,14030,29397,22197,25625,18425,25621,18421,25532,18332
8640,8640,29510,20870,8630,29643,21003,24953,16313,24940,16300,29643,21003,29511,20871,29427,20787,29468,20828
10080,10150,29510,19430,10134,29643,19563,25386,15306,24940,14860,29499,19419,29646,19566,29427,19347,29470,19390
11520,12030,29670,18150,12018,30064,18544,29501,17981,29427,17907,30054,18534,30034,18514,29643,18123,29662,18142
12950,12950,30060,17110,12950,30114,17164,29643,16693,29506,16556,30078,17128,30052,17102,29661,16711,30035,17085
14390,15240,30060,15670,15236,30114,15724,29643,15253,29506,15116,30113,15723,30058,15668,29658,15268,30061,15671
15830,15830,30100,14270,15830,30154,14324,30058,14228,30055,14225,30292,14462,30317,14487,30217,14387,30214,14384
17270,17270,31270,14000,17270,30736,13466,30131,12861,30258,12988,30955,13685,30946,13676,30947,13677,30962,13692
18710,18750,31650,12940,18744,30766,12056,30257,11547,30258,11548,31183,12473,31178,12468,31181,12471,31181,12471
